set_field,Ne19,He6,Ratio,sRatio
0.75,4.7140036260639666e-06,1.3004088930376047e-06,1.4564383900737703,0.37543581041760377
1.0,6.569076352818165e-05,1.0454091724216359e-05,2.5246439594853216,0.19854397409120916
1.25,0.00012838330743431507,1.8047177183913648e-05,2.858126286312309,0.17165749325106755
1.5,0.00018888745105812306,2.8611880005312145e-05,2.6523989514390958,0.13280262542980933
1.75,0.00022695365587767144,3.897411125364346e-05,2.3396080064888314,0.10097244990224861
2.0,0.0002277912470547468,4.441050387323434e-05,2.0607887177328874,0.08583828319554188
2.25,0.00016591793898773941,3.2288098209781175e-05,2.0645861769640694,0.10592838016273878
2.5,0.0002648253542269795,8.751020399339644e-05,1.2158584072655365,0.041707480052304215
2.75,0.00019966838274851446,9.163395240023011e-05,0.8754573991524175,0.032190392141081346
3.0,0.000101254021966353,9.816734994999251e-05,0.41440725722291527,0.01999758198555112
3.25,2.566703896481536e-05,8.991788405311579e-05,0.11468637554473772,0.010273302286990216
