set_field,Ne19,He6,Ratio,sRatio
0.75,6.983709075650321e-06,1.4564225420911098e-06,1.8284714132781223,0.41420342170216895
1.0,7.10931651435795e-05,1.0706630300890459e-05,2.5320044859381845,0.19417958558089626
1.25,0.00013551191780622853,1.8404152990375287e-05,2.807702472391547,0.16569200145332172
1.5,0.00019792116881488584,2.926780898194421e-05,2.578644438601466,0.12628827275325327
1.75,0.0002361051351435715,4.047564798487202e-05,2.2243393776393963,0.09362346179441469
2.0,0.00023785213819946916,4.556889328535675e-05,1.990343369657358,0.08100029496559227
2.25,0.0001683588104670941,3.28947742972121e-05,1.951633954483877,0.09914876280667236
2.5,0.00028800282849861166,9.258082601657729e-05,1.186219692167285,0.03901964935829605
2.75,0.00021926238713781008,9.56367937465151e-05,0.8742357415033578,0.030798818422328674
3.0,0.00011790086964556696,0.00010420171810281208,0.431451075954411,0.019547252762492015
3.25,2.9646210859460172e-05,9.237980869914876e-05,0.12237186031469308,0.010226791150117159
