set_field,Ne19,He6,Ratio,sRatio
0.75,8.222638051331075e-06,1.0709249707368508e-06,2.7847215323808565,0.6647899724141684
1.0,7.494117053508539e-05,8.971417803849591e-06,3.0296261041837274,0.24263649055451006
1.25,0.00014017997298022058,1.8047580508772188e-05,2.8170634473095406,0.16610105979748457
1.5,0.00020349196913432995,2.9025675397491753e-05,2.542696847747413,0.12366520149689621
1.75,0.0002404459548775479,4.082311640501913e-05,2.136195344243078,0.08920247049986786
2.0,0.00025043789805845546,4.64905763036249e-05,1.9537309870971293,0.07798110301095307
2.25,0.00016674698080993878,3.315720746896767e-05,1.8239363422320376,0.09234151316420401
2.5,0.00030824241537289046,9.631485517400266e-05,1.160723474176456,0.03706404811614759
2.75,0.0002356948359821665,0.00010015719243781474,0.8534882954079712,0.029057413785011806
3.0,0.00012929563624837755,0.00010637906743630367,0.44081598354741197,0.01928831908918567
3.25,3.4073891702106824e-05,8.943344581129563e-05,0.1381819824236968,0.010842276366734087
